City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Jalu,LY,2021-04-23 20:51:42,29.0331,21.5482,78.93,14,0,11.74,clear sky
146,Kahului,US,2021-04-23 20:50:29,20.8947,-156.47,80.6,61,40,20.71,scattered clouds
147,Baruun-Urt,MN,2021-04-23 20:51:02,46.6806,113.2792,34.75,38,53,11.97,broken clouds
148,Kirakira,SB,2021-04-23 20:51:43,-10.4544,161.9205,81.59,78,54,4.14,broken clouds
149,Makat,KZ,2021-04-23 20:51:43,47.6469,53.3463,50.05,76,26,11.01,scattered clouds
150,Lampazos De Naranjo,MX,2021-04-23 20:51:43,27.0167,-100.5167,95.36,22,0,7.05,clear sky
151,San Cristobal,VE,2021-04-23 20:51:44,7.7669,-72.225,89.6,58,40,9.22,scattered clouds
152,Matara,LK,2021-04-23 20:51:44,5.9485,80.5353,77.52,89,61,5.95,broken clouds
153,Bushehr,IR,2021-04-23 20:51:44,28.9684,50.8385,75.2,60,99,3.09,overcast clouds
154,Norman Wells,CA,2021-04-23 20:51:45,65.282,-126.8329,30.2,40,40,11.5,scattered clouds
155,Kearney,US,2021-04-23 20:51:45,40.6995,-99.0815,64.4,39,40,12.66,scattered clouds
156,Chichihualco,MX,2021-04-23 20:51:45,17.6833,-99.65,91.33,18,100,1.74,overcast clouds
157,Sambava,MG,2021-04-23 20:51:46,-14.2667,50.1667,74.16,90,100,8.01,overcast clouds
158,Airai,TL,2021-04-23 20:51:46,-8.9266,125.4092,57.18,88,25,2.64,scattered clouds
159,Longyearbyen,SJ,2021-04-23 20:51:46,78.2186,15.6401,15.8,67,40,5.75,scattered clouds
160,Matagami,CA,2021-04-23 20:51:46,49.7502,-77.6328,60.8,29,20,14.97,few clouds
161,Lebu,CL,2021-04-23 20:48:09,-37.6167,-73.65,57.76,81,41,7.87,scattered clouds
162,Anori,BR,2021-04-23 20:51:47,-3.7728,-61.6442,82.11,84,88,1.88,light rain
163,Saint-Augustin,CA,2021-04-23 20:51:47,51.226,-58.6502,33.24,86,100,13.47,light snow
164,Mamakan,RU,2021-04-23 20:51:48,57.8161,114.0028,28.0,95,100,3.36,overcast clouds
165,Aykhal,RU,2021-04-23 20:51:48,66.0,111.5,17.55,89,91,7.18,overcast clouds
166,Galveston,US,2021-04-23 20:49:19,29.3669,-94.9669,75.2,83,90,19.57,haze
167,Yongan,CN,2021-04-23 20:51:48,39.6957,113.6871,49.14,84,75,6.64,broken clouds
168,Winnemucca,US,2021-04-23 20:51:49,40.973,-117.7357,64.4,11,1,9.22,clear sky
169,Cabo San Lucas,MX,2021-04-23 20:51:49,22.8909,-109.9124,84.0,44,40,4.61,scattered clouds
170,Camopi,GF,2021-04-23 20:51:49,3.1655,-52.3158,74.26,98,100,2.39,moderate rain
171,Kalmunai,LK,2021-04-23 20:51:50,7.4167,81.8167,80.06,80,3,1.68,clear sky
172,Ancud,CL,2021-04-23 20:51:46,-41.8697,-73.8203,57.0,76,75,8.05,broken clouds
173,Beba,CU,2021-04-23 20:51:50,22.4437,-79.7253,91.4,27,20,14.97,few clouds
174,Souillac,MU,2021-04-23 20:51:51,-20.5167,57.5167,78.8,78,75,10.36,light rain
175,Arlit,NE,2021-04-23 20:51:51,18.7369,7.3853,89.2,7,38,11.65,scattered clouds
176,Glendive,US,2021-04-23 20:51:51,47.1053,-104.7125,43.0,41,75,10.36,broken clouds
177,Sobolevo,RU,2021-04-23 20:51:52,54.4299,31.8996,36.57,76,68,5.14,broken clouds
178,Pacific Grove,US,2021-04-23 20:51:52,36.6177,-121.9166,62.01,55,40,12.66,scattered clouds
179,Poum,NC,2021-04-23 20:51:52,-20.2333,164.0167,78.55,79,92,7.99,overcast clouds
180,Naryan-Mar,RU,2021-04-23 20:51:53,67.6713,53.087,31.84,89,77,8.32,broken clouds
181,Prince Rupert,CA,2021-04-23 20:51:53,54.3161,-130.3201,53.6,58,1,6.91,clear sky
182,Sao Goncalo Do Sapucai,BR,2021-04-23 20:51:53,-21.8922,-45.5953,63.72,71,1,2.77,clear sky
183,Bozeman,US,2021-04-23 20:47:00,45.6796,-111.0386,44.01,58,85,1.99,overcast clouds
184,Tygda,RU,2021-04-23 20:51:54,53.1167,126.3333,29.5,51,26,9.13,scattered clouds
185,Esperance,AU,2021-04-23 20:51:54,-33.8667,121.9,55.4,94,95,11.5,overcast clouds
186,Luau,AO,2021-04-23 20:51:54,-10.7073,22.2247,66.04,78,66,3.58,broken clouds
187,Coquimbo,CL,2021-04-23 20:51:55,-29.9533,-71.3436,64.4,59,75,10.36,broken clouds
188,Kamenka,RU,2021-04-23 20:51:55,51.3223,42.7678,43.0,94,9,7.14,clear sky
189,Biu,NG,2021-04-23 20:51:55,10.6129,12.1946,87.26,27,83,4.43,broken clouds
190,Conde,BR,2021-04-23 20:49:18,-7.2597,-34.9075,80.6,89,40,11.5,scattered clouds
191,Flinders,AU,2021-04-23 20:51:56,-34.5833,150.8552,48.99,81,86,1.01,overcast clouds
192,Dedougou,BF,2021-04-23 20:51:56,12.4667,-3.4667,95.72,23,93,7.56,overcast clouds
193,Birjand,IR,2021-04-23 20:51:57,32.8663,59.2211,62.6,13,0,6.91,clear sky
194,Chapais,CA,2021-04-23 20:51:57,49.7834,-74.8492,50.0,25,1,18.41,clear sky
195,Sovetskiy,RU,2021-04-23 20:51:57,61.3614,63.5842,37.92,96,99,4.09,overcast clouds
196,De Panne,BE,2021-04-23 20:51:57,51.0792,2.5917,46.0,81,16,10.36,few clouds
197,Nemuro,JP,2021-04-23 20:51:58,43.3236,145.575,38.66,84,100,14.34,overcast clouds
198,Oranjemund,NA,2021-04-23 20:51:58,-28.55,16.4333,61.27,88,56,5.41,broken clouds
199,Pimentel,PE,2021-04-23 20:51:58,-6.8367,-79.9342,75.2,60,0,24.16,clear sky
200,Kyra,RU,2021-04-23 20:51:59,49.5776,111.9753,31.32,76,92,1.23,overcast clouds
201,Fare,PF,2021-04-23 20:51:59,-16.7,-151.0167,79.74,75,63,10.8,light rain
202,Ban Nahin,LA,2021-04-23 20:51:59,18.2418,104.2122,78.08,79,94,2.71,heavy intensity rain
203,Roberval,CA,2021-04-23 20:52:00,48.5168,-72.2324,53.6,24,20,26.46,few clouds
204,Korla,CN,2021-04-23 20:52:00,41.7597,86.1469,44.55,61,45,10.83,scattered clouds
205,New Norfolk,AU,2021-04-23 20:52:00,-42.7826,147.0587,51.01,86,97,9.04,light rain
206,Nebbi,UG,2021-04-23 20:52:01,2.4783,31.0889,65.93,94,53,1.28,moderate rain
207,Kamsack,CA,2021-04-23 20:52:01,51.5667,-101.9009,39.2,26,75,16.11,broken clouds
208,Cartagena Del Chaira,CO,2021-04-23 20:52:02,1.3349,-74.8429,83.53,70,96,2.77,overcast clouds
209,Satna,IN,2021-04-23 20:52:02,24.5833,80.8333,84.97,13,76,6.58,broken clouds
210,Ixtapa,MX,2021-04-23 20:48:52,20.7,-105.2,84.2,61,1,11.5,clear sky
211,Casper,US,2021-04-23 20:47:15,42.8666,-106.3131,37.4,60,90,10.36,overcast clouds
212,Pevek,RU,2021-04-23 20:52:03,69.7008,170.3133,10.36,91,52,4.36,broken clouds
213,Camacha,PT,2021-04-23 20:52:03,33.0833,-16.3333,66.2,63,75,14.97,broken clouds
214,Kapaa,US,2021-04-23 20:52:03,22.0752,-159.319,80.6,61,40,14.97,scattered clouds
215,Acapulco,MX,2021-04-23 20:52:04,16.8634,-99.8901,87.8,58,90,6.91,overcast clouds
216,Constitucion,CL,2021-04-23 20:52:04,-35.3333,-72.4167,60.96,64,0,9.86,clear sky
217,Scarborough,GB,2021-04-23 20:52:04,54.2797,-0.4044,50.0,54,100,5.66,overcast clouds
218,Port Hardy,CA,2021-04-23 20:52:05,50.6996,-127.4199,51.8,71,75,4.61,broken clouds
219,Vilhena,BR,2021-04-23 20:50:14,-12.7406,-60.1458,84.2,65,40,5.75,scattered clouds
220,Iqaluit,CA,2021-04-23 20:52:05,63.7506,-68.5145,28.4,93,90,3.44,light snow
221,Preobrazheniye,RU,2021-04-23 20:52:05,42.9019,133.9064,49.55,71,100,4.18,light rain
222,Kindu,CD,2021-04-23 20:52:06,-2.95,25.95,69.15,96,98,2.08,overcast clouds
223,Russell,US,2021-04-23 20:52:06,32.3502,-85.1999,73.4,27,75,8.05,broken clouds
224,Atyrau,KZ,2021-04-23 20:52:06,47.1167,51.8833,44.6,100,75,8.95,mist
225,Castro,BR,2021-04-23 20:52:07,-24.7911,-50.0119,59.77,72,6,3.67,clear sky
226,Morro Bay,US,2021-04-23 20:52:07,35.3658,-120.8499,62.01,73,6,1.01,clear sky
227,Katsuura,JP,2021-04-23 20:52:07,35.1333,140.3,51.8,76,40,6.91,scattered clouds
228,Asekeyevo,RU,2021-04-23 20:52:08,53.5742,52.7972,45.52,91,100,9.71,overcast clouds
229,Griffith,US,2021-04-23 20:48:57,41.5284,-87.4237,61.0,39,90,14.97,overcast clouds
230,Salalah,OM,2021-04-23 20:49:08,17.0151,54.0924,84.2,74,40,4.61,scattered clouds
231,Qasigiannguit,GL,2021-04-23 20:52:09,68.8193,-51.1922,35.6,69,84,3.44,broken clouds
232,Komsomolskiy,UZ,2021-04-23 20:52:09,40.4272,71.7189,53.6,54,5,4.61,clear sky
233,Nuristan,AF,2021-04-23 20:52:10,35.3,70.8333,22.55,33,0,13.02,clear sky
234,Prainha,BR,2021-04-23 20:52:10,-1.8,-53.48,81.52,76,75,1.12,broken clouds
235,Strathmore,CA,2021-04-23 20:52:10,51.0501,-113.3852,39.0,64,100,4.61,overcast clouds
236,Isangel,VU,2021-04-23 20:52:11,-19.55,169.2667,80.06,80,76,10.51,broken clouds
237,Alekseyevsk,RU,2021-04-23 20:52:11,57.8406,108.3492,22.66,97,66,1.79,broken clouds
238,Mount Isa,AU,2021-04-23 20:52:11,-20.7333,139.5,66.2,27,24,14.97,few clouds
239,Bethel,US,2021-04-23 20:51:31,41.3712,-73.414,61.0,21,1,17.27,clear sky
240,Atasu,KZ,2021-04-23 20:52:12,48.6814,71.6433,34.95,34,35,6.93,scattered clouds
241,Puerto Madero,MX,2021-04-23 20:52:12,14.7208,-92.4215,91.4,58,75,10.36,broken clouds
